city_id,description
2092098e-dae8-4b19-9899-8c83325352d8,Adult Day-Care - General
2092098e-dae8-4b19-9899-8c83325352d8,Adult Day-Care - Limited
2092098e-dae8-4b19-9899-8c83325352d8,Wireless telecommunications facilities - Minor
2092098e-dae8-4b19-9899-8c83325352d8,Wireless telecommunications facilities - Major
2092098e-dae8-4b19-9899-8c83325352d8,with walk-up services
2092098e-dae8-4b19-9899-8c83325352d8,Communications facilities
2092098e-dae8-4b19-9899-8c83325352d8,"Charitable institution (3, 4)"
2092098e-dae8-4b19-9899-8c83325352d8,"Communications facility (2, 5)"
2092098e-dae8-4b19-9899-8c83325352d8,Vehicle storage
2092098e-dae8-4b19-9899-8c83325352d8,Multifamily residential (Max: RM-32)
2092098e-dae8-4b19-9899-8c83325352d8,"Cultural institutions (2, 3)"
2092098e-dae8-4b19-9899-8c83325352d8,"Religious facilities (2, 9)"
2092098e-dae8-4b19-9899-8c83325352d8,Adult day care - General
2092098e-dae8-4b19-9899-8c83325352d8,Adult day care - Limited
2092098e-dae8-4b19-9899-8c83325352d8,"Filming, short term"
2092098e-dae8-4b19-9899-8c83325352d8,Printing and publishing - Limited
2092098e-dae8-4b19-9899-8c83325352d8,Commercial off-street parking (3)
2092098e-dae8-4b19-9899-8c83325352d8,Utility major
2092098e-dae8-4b19-9899-8c83325352d8,Utility minor
2092098e-dae8-4b19-9899-8c83325352d8,"Mixed-use projects (3,4)"
2092098e-dae8-4b19-9899-8c83325352d8,"Schools - Specialized education and training (3, 4)"
2092098e-dae8-4b19-9899-8c83325352d8,Offices - Accessory to primary use
2092098e-dae8-4b19-9899-8c83325352d8,with live entertainment
2092098e-dae8-4b19-9899-8c83325352d8,Restaurants - Formula fast food
2092098e-dae8-4b19-9899-8c83325352d8,Restaurants with take-out window
2092098e-dae8-4b19-9899-8c83325352d8,Vehicle services - Automobile rentals
2092098e-dae8-4b19-9899-8c83325352d8,Drive-through business - Non-restaurants
2092098e-dae8-4b19-9899-8c83325352d8,"Industry, restricted, small-scale"
2092098e-dae8-4b19-9899-8c83325352d8,"Alternative fuel/recharging facilities (3, 4, 10)"
2092098e-dae8-4b19-9899-8c83325352d8,"Commercial entertainment (3, 4)"
2092098e-dae8-4b19-9899-8c83325352d8,Ambulance services
2092098e-dae8-4b19-9899-8c83325352d8,"Lodging - Hotel, motel"
2092098e-dae8-4b19-9899-8c83325352d8,Vehicle services - Washing/detailing
2092098e-dae8-4b19-9899-8c83325352d8,"Industry, restricted (4, 5)"
2092098e-dae8-4b19-9899-8c83325352d8,Recycling - Large collection facilities
2092098e-dae8-4b19-9899-8c83325352d8,"Communications facilities (3, 4, 10)"
2092098e-dae8-4b19-9899-8c83325352d8,"Vehicle storage (3, 4, 10)"
2092098e-dae8-4b19-9899-8c83325352d8,"Industry, standard (4, 5)"
2092098e-dae8-4b19-9899-8c83325352d8,Religious facilities (2)
2092098e-dae8-4b19-9899-8c83325352d8,"Transit-oriented development (3, 4)"
2092098e-dae8-4b19-9899-8c83325352d8,Vehicle services - Service station
2092098e-dae8-4b19-9899-8c83325352d8,Drive-through business - Restaurant
2092098e-dae8-4b19-9899-8c83325352d8,"Building materials and supplies sales (3, 4)"
2092098e-dae8-4b19-9899-8c83325352d8,"Wholesaling, distribution & storage"
2092098e-dae8-4b19-9899-8c83325352d8,"Wholesaling, distribution & storage, small-scale"
